,가맹점구분번호,기준년월,신규고객_비중_cleaned,재방문고객_비중_cleaned,유동인구고객_비중_cleaned,합계_3열,zero_sum_flag
24,002816BA73,202301,7.2,12.85,66.7,86.75,0
25,002816BA73,202302,7.14,12.07,58.6,77.81,0
26,002816BA73,202303,9.5,12.35,72.7,94.55000000000001,0
27,002816BA73,202304,7.87,12.73,66.7,87.30000000000001,0
28,002816BA73,202305,7.23,12.53,75.8,95.56,0
29,002816BA73,202306,7.62,11.3,61.3,80.22,0
30,002816BA73,202307,8.02,11.03,76.5,95.55,0
31,002816BA73,202308,7.14,11.58,75.9,94.62,0
32,002816BA73,202309,9.4,12.53,67.6,89.53,0
33,002816BA73,202310,8.24,11.76,61.8,81.8,0
34,002816BA73,202311,6.87,12.32,68.8,87.99,0
35,002816BA73,202312,11.55,12.24,63.6,87.39,0
36,002816BA73,202401,7.6,12.44,76.7,96.74000000000001,0
37,002816BA73,202402,7.9,11.29,73.7,92.89,0
38,002816BA73,202403,10.86,10.42,73.3,94.58,0
39,002816BA73,202404,6.12,10.66,52.4,69.18,0
40,002816BA73,202405,4.61,10.6,47.8,63.01,0
41,002816BA73,202406,4.69,9.86,69.6,84.14999999999999,0
42,002816BA73,202407,7.71,9.35,69.6,86.66,0
43,002816BA73,202408,6.4,9.0,52.2,67.60000000000001,0
44,002816BA73,202409,7.69,9.13,70.4,87.22,0
45,002816BA73,202410,7.69,9.86,69.2,86.75,0
46,002816BA73,202411,6.3,10.41,76.9,93.61000000000001,0
47,002816BA73,202412,8.56,10.83,84.4,103.79,0
72,003AC99735,202301,5.12,36.29,56.7,98.11,0
73,003AC99735,202302,5.26,35.9,59.0,100.16,0
74,003AC99735,202303,7.6,36.14,58.7,102.44,0
75,003AC99735,202304,7.28,36.33,56.0,99.61,0
76,003AC99735,202305,8.04,36.27,58.3,102.61,0
77,003AC99735,202306,7.03,36.41,53.5,96.94,0
78,003AC99735,202307,6.88,36.3,53.5,96.68,0
79,003AC99735,202308,6.48,36.38,57.4,100.25999999999999,0
80,003AC99735,202309,7.29,35.94,54.9,98.13,0
81,003AC99735,202310,7.02,36.45,56.4,99.87,0
82,003AC99735,202311,5.61,36.53,53.4,95.53999999999999,0
83,003AC99735,202312,5.22,36.51,57.8,99.53,0
84,003AC99735,202401,4.83,36.39,52.3,93.52,0
85,003AC99735,202402,4.97,36.37,51.8,93.13999999999999,0
86,003AC99735,202403,7.02,36.38,56.5,99.9,0
87,003AC99735,202404,9.11,36.71,56.8,102.62,0
88,003AC99735,202405,7.97,36.6,55.8,100.37,0
89,003AC99735,202406,8.61,36.84,54.0,99.45,0
90,003AC99735,202407,6.67,37.16,54.4,98.22999999999999,0
91,003AC99735,202408,6.17,36.76,55.7,98.63,0
92,003AC99735,202409,8.2,35.99,56.9,101.09,0
93,003AC99735,202410,7.02,36.45,52.2,95.67,0
94,003AC99735,202411,5.0,36.7,53.5,95.2,0
95,003AC99735,202412,4.7,36.99,53.0,94.69,0
96,0041E4E5AE,202301,6.55,32.1,60.4,99.05,0
97,0041E4E5AE,202302,6.15,31.52,56.2,93.87,0
98,0041E4E5AE,202303,7.81,31.32,54.8,93.93,0
99,0041E4E5AE,202304,7.34,31.5,61.9,100.74000000000001,0
100,0041E4E5AE,202305,7.56,32.15,51.8,91.50999999999999,0
101,0041E4E5AE,202306,7.29,32.44,58.1,97.83,0
102,0041E4E5AE,202307,6.83,32.51,51.4,90.74,0
103,0041E4E5AE,202308,6.56,33.08,58.4,98.03999999999999,0
104,0041E4E5AE,202309,6.87,32.42,55.6,94.89,0
105,0041E4E5AE,202310,8.92,31.08,60.6,100.6,0
106,0041E4E5AE,202311,8.15,30.69,55.4,94.24000000000001,0
107,0041E4E5AE,202312,6.92,30.12,57.5,94.53999999999999,0
108,0041E4E5AE,202401,6.6,31.53,54.5,92.63,0
109,0041E4E5AE,202402,6.47,31.79,55.7,93.96000000000001,0
110,0041E4E5AE,202403,6.51,31.95,55.9,94.36,0
111,0041E4E5AE,202404,6.91,31.14,51.1,89.15,0
112,0041E4E5AE,202405,5.88,31.99,61.4,99.27,0
113,0041E4E5AE,202406,4.38,32.31,57.8,94.49000000000001,0
114,0041E4E5AE,202407,5.94,32.45,64.3,102.69,0
115,0041E4E5AE,202408,5.0,32.25,56.7,93.95,0
116,0041E4E5AE,202409,5.55,31.51,58.1,95.16,0
117,0041E4E5AE,202410,8.32,31.76,61.3,101.38,0
118,0041E4E5AE,202411,5.57,31.38,60.0,96.95,0
119,0041E4E5AE,202412,7.7,30.89,62.2,100.79,0
120,0050D68B18,202305,0.0,0.0,0.0,0.0,1
121,0050D68B18,202306,100.0,30.0,43.8,173.8,0
122,0050D68B18,202307,28.57,39.29,58.3,126.16,0
123,0050D68B18,202308,30.0,37.5,53.3,120.8,0
124,0050D68B18,202309,25.93,33.33,64.3,123.56,0
125,0050D68B18,202310,15.63,34.38,66.7,116.71000000000001,0
126,0050D68B18,202311,14.67,30.67,58.3,103.64,0
127,0050D68B18,202312,15.73,28.09,58.3,102.12,0
128,0050D68B18,202401,5.32,29.79,66.7,101.81,0
129,0050D68B18,202402,8.74,27.18,50.0,85.92,0
130,0050D68B18,202403,1.9,28.57,60.0,90.47,0
131,0050D68B18,202404,11.02,26.27,57.1,94.39,0
132,0050D68B18,202405,5.6,27.2,57.1,89.9,0
133,0050D68B18,202406,6.35,25.4,50.0,81.75,0
134,0050D68B18,202407,7.03,23.44,50.0,80.47,0
135,0050D68B18,202408,4.0,22.4,50.0,76.4,0
136,0050D68B18,202409,7.5,22.5,60.0,90.0,0
137,0050D68B18,202410,8.4,21.01,50.0,79.41,0
138,0050D68B18,202411,6.84,21.37,60.0,88.21000000000001,0
139,0050D68B18,202412,10.43,23.48,62.5,96.41,0
140,00646B6673,202301,5.56,19.84,21.4,46.8,0
141,00646B6673,202302,8.98,19.92,26.9,55.8,0
142,00646B6673,202303,21.89,20.88,26.5,69.27,0
143,00646B6673,202304,8.08,18.86,44.8,71.74,0
144,00646B6673,202305,16.08,18.33,40.7,75.11,0
145,00646B6673,202306,17.66,19.09,36.1,72.85,0
146,00646B6673,202307,16.67,18.21,38.5,73.38,0
147,00646B6673,202308,13.13,18.2,41.4,72.72999999999999,0
148,00646B6673,202309,8.53,18.98,30.2,57.709999999999994,0
149,00646B6673,202310,7.65,19.11,45.1,71.86,0
150,00646B6673,202311,8.19,21.14,27.9,57.23,0
151,00646B6673,202312,5.95,22.3,32.0,60.25,0
152,00646B6673,202401,5.4,21.76,47.4,74.56,0
153,00646B6673,202402,3.94,21.47,33.3,58.709999999999994,0
154,00646B6673,202403,6.42,22.83,28.8,58.05,0
155,00646B6673,202404,6.3,24.26,22.0,52.56,0
156,00646B6673,202405,8.44,25.69,37.3,71.43,0
157,00646B6673,202406,9.21,24.86,28.6,62.67,0
158,00646B6673,202407,10.37,25.19,33.3,68.86,0
159,00646B6673,202408,10.46,25.5,35.9,71.86,0
160,00646B6673,202409,6.45,24.13,35.4,65.97999999999999,0
